y,x
57241,9709
50120,53256
65609,34419
26232,17336
26050,23488
22765,36383
43529,46115
62546,47677
61242,31969
2300,7445
8732,43510
52057,10326
1595,24628
44706,61812
11995,63313
44130,12556
20657,55595
19297,20107
57962,57851
43624,38541
43606,16383
25581,7862
28318,21786
11139,38650
2692,49899
8973,45130
33336,64421
15603,10900
61803,41742
46335,47791
15408,50922
47698,63642
18120,39337
33668,1828
28687,16439
39045,64437
31297,23151
63194,58472
31370,49849
60642,24780
38120,15084
27047,62633
2982,12646
10732,42582
15825,35719
21340,58610
64930,27661
35600,14231
32376,27316
43643,28882
55809,35800
25221,44237
15459,25549
8944,12806
2125,44838
36466,46374
8035,12716
35006,30209
59206,67053
20920,13744
23751,36770
53055,55113
6087,55740
49711,46350
23218,51528
33879,3506
49410,39689
51419,12497
9137,18280
3790,62986
21515,59132
57719,33945
17178,51662
46999,54636
13190,35742
46635,23364
57957,27755
12344,60419
4911,7490
5766,58620
44974,31968
30720,59106
17036,32694
64606,23079
12263,56531
41088,57040
32919,60780
28946,34563
48837,55978
16368,9941
49933,34074
32225,66940
56755,46961
26176,43727
40620,67198
15725,43583
33169,40536
45399,20365
59406,39266
67335,6014
19436,29322
34653,59898
42581,66139
9272,36110
7064,5266
17818,63484
43206,42534
53448,51720
55928,56038
1391,20684
59255,23713
41996,19232
36716,30749
56501,5062
8305,3697
56978,19301
19355,41727
47128,26745
13641,66523
48239,16078
25718,50704
47025,39458
52173,47318
11069,61611
19901,48677
54711,15498
67032,24186
35715,37477
12221,24030
10189,64635
58008,14155
22691,52502
20324,56053
27068,21737
31444,54709
56420,32728
12195,11906
6751,20515
21173,34403
22142,32628
3376,53429
55933,4602
39823,43211
38870,23546
19264,35693
1073,7255
52736,54434
16261,67041
63000,52085
26773,44948
4626,883
6612,55503
57091,65458
9756,26651
54520,66062
21050,24303
9169,21327
51472,67406
55750,59590
41888,57436
60380,48005
40568,46575
35174,40009
63731,59643
3681,34807
60375,44800
24546,20366
29986,28814
11548,37433
11557,60159
19589,24568
18398,56425
16776,66793
21735,4096
38761,33453
44059,10514
35651,35625
53762,41441
64797,22995
46130,5164
53539,28947
1421,15842
63129,27392
48389,5638
55418,49616
7324,27362
57104,9652
36663,56951
20799,34457
37280,49516
65990,44241
12174,55504
9365,3457
50493,56901
36619,54717
52617,67186
58998,14104
33424,9688
6750,51620
36206,55266
20407,42895
17703,22927
51018,41970
40641,401
36287,25859
7234,9641
5858,3656
46046,29331
45267,22792
53474,30481
46293,57305
19277,53328
64514,39942
56297,55017
8599,22600
46543,48750
5961,45545
22368,29677
53505,263
33322,66303
50236,31898
2407,13983
6285,2669
65029,24190
39225,13176
61889,66826
47426,21386
6778,42264
59459,51634
14863,56556
60935,52146
25674,17248
28402,13550
59596,45380
56698,4048
50702,44916
46301,2026
17310,25434
61683,10686
42391,20151
25561,13709
18992,63556
24384,29011
45484,61544
45407,5511
15992,41064
40222,19840
13993,67067
36707,27916
66894,61359
32710,43886
12261,11715
26129,51946
60143,45520
46829,1623
64231,5757
23390,39022
56693,64665
4651,52540
15515,25115
50201,35786
57357,18789
24317,29659
43917,58094
12197,30035
55004,2217
48516,45641
22517,3440
6780,65466
10045,26884
18559,30522
46569,26351
63777,22345
17128,55307
26055,62325
43719,44144
63115,4740
2923,29994
23522,8767
11177,37639
10010,3043
3109,37092
7724,1649
44948,48468
52255,17200
62423,1337
17287,61368
33148,67118
59377,31479
14500,62492
63078,12749
63554,15517
29021,7598
37270,11779
29511,61364
62649,52943
43363,66640
21001,10699
3179,41100
14002,24803
61927,31112
51985,24839
23712,20202
33443,10984
26346,7354
16604,6934
15489,64171
66310,47365
55437,56000
6745,17707
40723,30410
56887,21813
27057,33084
29729,9074
47519,62399
3940,11024
41347,46078
2522,43046
21621,49215
30237,17068
25217,37759
50382,43745
16493,65949
13469,51
18855,28389
14039,32749
3768,62673
61959,27182
55572,25771
50865,31161
2248,2915
19981,7980
58873,43986
23117,41316
60512,49684
3598,17239
48518,55962
8151,1889
29793,2557
8422,14864
12147,8721
10495,44077
61277,31368
6822,36859
13693,58556
4850,51586
32098,24084
66230,4433
33482,52032
51826,59032
9956,3136
31548,14046
48363,21674
1952,21116
2043,46251
31471,36684
30512,43925
51699,2764
52519,46714
27572,50893
43160,10578
32889,48764
47472,29910
18344,66331
62786,39585
11591,54274
472,24949
5986,48467
61429,63727
49981,7121
26782,13011
30703,61637
12882,54209
44815,67012
14945,63817
16846,13873
12980,42150
4078,39573
7134,923
19381,31053
30050,61424
13779,9410
61388,15340
50003,47107
59729,11088
66927,21201
724,4865
36033,64892
14817,21690
19954,17896
2896,36143
50450,45866
10078,18548
2894,51301
29289,23945
53768,23127
50209,59161
30507,50505
43077,15709
5038,55661
59166,40878
50062,51326
31996,18829
38476,24605
39566,3694
61600,31612
29326,49634
60383,60905
22352,48036
19668,59002
62414,8101
23874,5177
14706,55948
45572,20747
18060,60888
10358,4374
42437,10485
18209,36879
4813,62987
3366,27054
9212,48591
35330,41415
21683,25450
53026,39121
22119,28571
23958,822
24892,16678
16847,21094
66748,20785
23493,42081
19208,3615
43615,63123
58443,20013
26771,10073
63963,45289
34376,35949
64155,28554
19996,44639
56514,34548
2168,43125
21574,54557
28155,15101
35025,59987
65004,37657
47710,4964
61066,16559
65278,38534
49614,39328
19972,31700
36537,43063
4089,28050
28449,59010
17250,40127
46349,61207
64188,51762
53468,8658
31095,52577
1184,37699
56973,37120
860,34080
170,8240
20784,32159
42796,61395
2819,56427
17327,27746
61208,28315
32059,6548
27950,41271
18014,33842
704,62098
60277,2043
42596,26021
23917,33266
51089,49475
13278,58873
22288,20640
15588,58123
11105,5867
39453,23525
8586,28823
27612,46213
35516,21102
57184,57564
4041,3199
6471,42434
17702,10610
31528,62527
26171,61804
48873,19545
2739,19535
56857,43350
15062,57191
7851,41345
43916,713
66564,37829
8281,62288
7655,32221
40873,37685
61048,55790
66675,50423
55532,9521
29943,53373
722,43676
37018,36598
3231,5659
47988,31292
20382,31374
13991,37595
33836,13985
15457,50113
20469,9988
18370,50730
47643,12032
36587,60787
38008,13867
3208,15105
62624,37281
54970,48551
33812,13081
52926,41608
15768,29784
40947,64610
40149,20878
27972,52772
58697,13707
32185,60836
14317,31872
8902,18075
55488,51950
25767,53704
24907,66654
8080,17681
51431,52859
12015,52063
47702,23695
29437,64440
34326,53217
17630,66234
62712,20679
24465,31453
36305,32635
6593,22892
8019,56721
5977,4031
15676,8650
19754,52621
5235,41416
55592,53361
65596,532
50774,18971
34200,28384
16287,9204
40877,39473
41008,14930
40905,4814
27701,24447
2632,1827
53251,6863
59397,23238
62972,1443
17681,16691
48129,34184
46805,63858
2943,54250
66239,62596
3731,64566
46488,46572
9186,46879
63310,7250
56642,35177
43194,41236
39010,46502
4826,14646
66641,33582
43138,14070
15210,15719
934,6994
40894,8243
2983,41229
40605,17338
31658,6895
10143,3629
57287,27441
4977,31487
1115,26403
61376,10988
34766,25938
32058,58522
15737,30100
3767,33344
40423,56111
9118,33650
58811,9979
33651,39372
40467,21047
14552,58393
6521,11238
14589,63477
3578,10856
56713,34002
5534,46215
13357,58839
23614,5636
19387,47443
39086,46742
28173,35099
60930,24574
11217,63622
58277,25057
11517,47938
14963,16580
28142,52412
62,31768
61288,25302
12338,38143
445,3360
27252,13720
35743,52623
26689,49321
1984,49125
12742,18424
48170,34116
20235,58622
10161,45814
37380,65171
45919,38574
1787,33501
25788,62705
22052,3072
3644,9895
10757,24206
26694,4053
63205,41173
41158,48877
10100,63290
48924,66666
26349,19365
20903,16909
7072,39138
12672,8074
51729,21220
52938,17283
38997,17461
41776,29318
8602,19131
6845,12232
12304,58479
58284,10061
43510,59309
52699,41418
36727,30389
44142,12085
43513,8082
52453,22848
11913,34348
48717,15132
20011,60882
17323,67220
35069,17151
44849,3017
58495,55422
54641,38280
13737,32125
16156,53381
63534,45066
50847,55011
8657,4828
63379,40333
31010,19543
47360,25588
19423,16258
16183,18243
18274,62379
15126,42694
18821,2411
13710,22270
16777,37907
3279,22863
30564,49667
49420,9092
34015,61205
31253,66241
149,4224
14353,29867
12271,32170
35681,14042
60053,24099
40460,3347
3499,35896
39981,48141
29192,18471
23938,57542
66947,29361
35703,13364
48263,8078
49023,49109
12476,36502
66277,40316
38876,66180
38045,18159
39637,61034
34149,42248
60165,9307
29514,5504
14501,43597
20398,53200
49959,9337
25607,38645
19839,30406
53287,37739
38506,61074
31697,50094
34220,9075
51437,29840
4839,53595
10352,8736
17225,7342
60026,61266
40911,50268
11170,65079
49194,48448
61949,53132
50266,36280
4646,35209
27815,25059
2291,34593
62816,25846
17608,56741
38647,60594
16703,23874
24157,2311
2500,56178
62247,5763
42250,19702
39950,32984
25585,17627
49150,52752
64691,29465
50764,57505
276,24053
25012,27191
5828,43632
42731,24375
18441,19817
38609,16955
20343,7796
49832,588
31096,65066
9236,67027
8287,16855
4837,417
50154,11800
24771,46464
63820,10867
38216,13880
22658,58054
30416,26889
16869,25868
60052,22251
66985,15099
60147,20840
56703,15481
42488,63863
14949,33437
46946,58701
22176,61854
41588,16953
54423,32051
21747,9107
33977,16418
51949,19477
22515,18775
59404,40471
31918,12582
10855,14271
14348,40577
17629,16724
46100,45091
29282,6904
39633,31678
59984,53276
47762,1213
25474,64118
35384,59258
11915,38091
43488,22577
7499,25473
37935,10400
39103,28934
56228,46628
48116,41483
16964,43719
57294,63387
36633,46862
24419,40217
51328,56937
27151,58585
41748,37471
8034,56154
6598,6844
63227,35243
20687,63594
21578,10789
50256,33967
17721,29196
28210,22771
13602,6016
18942,31656
28555,48825
66864,44676
28421,32714
47588,9247
16556,64192
59872,59459
7540,54708
60285,7249
46239,80
29975,18620
20051,33512
54113,43739
47091,33031
3135,44754
40578,55148
38241,10500
9498,65884
48139,41580
39201,58778
14763,27377
23588,42012
11825,42687
11583,18282
53633,20157
41793,49362
59515,5776
45930,50791
63300,38973
50578,64768
65193,18766
24613,51121
8565,1845
7089,47704
62831,46407
30851,54221
2441,13872
66519,41499
43769,6238
4496,6753
1767,11280
52748,54985
31696,10526
35794,56202
20109,48698
23007,19943
38691,16465
63392,40482
11921,59883
17650,32639
34735,56983
14390,30932
2418,52674
13819,32374
47071,32851
24596,31986
16295,31331
34391,46874
30304,27704
14265,12941
36022,24239
57655,12670
15838,16445
11538,67033
48255,45351
47740,4446
7637,36202
14166,67151
31722,59485
1562,59909
58544,43295
37114,52748
16639,65550
55016,39653
54686,60659
13440,56413
11553,19249
52700,65682
5581,60074
36586,34595
2033,33393
47234,64484
9456,23943
36210,56311
9643,11512
5585,25824
47832,47642
28951,34503
35813,54984
48721,15413
48095,28133
61495,33435
19505,20101
41,26467
40308,18685
60301,26784
11323,66812
1803,10765
6374,226
47349,33642
57640,22003
40109,17064
41267,43883
52877,48908
10114,5162
44391,15758
39353,4503
66192,55320
4541,10804
53561,57025
14846,21612
6669,15949
55280,42118
12569,23522
48113,33666
38649,28000
43870,57189
46597,40778
24114,59719
46221,30892
7280,61362
48552,62815
33105,41765
17934,35253
90,31688
5324,27738
44021,21379
873,47064
8223,50692
40364,38499
35932,41055
35224,46482
18888,2361
46501,17698
63758,950
44110,61900
36751,22873
63248,12333
7685,23594
43666,55799
2575,45125
56185,37013
19828,15712
46873,62718
19613,25984
57948,64201
5584,49328
63683,59139
46843,42090
48629,35650
23037,39897
60582,33434
56034,23326
55491,16344
6547,33785
21781,43917
5994,47266
8377,43080
13385,16368
50282,16790
56263,66172
46957,4454
63918,46940
7349,53033
6180,32154
19286,11503
41693,41330
66636,24661
2781,60202
55973,3176
65242,25797
54587,23255
62203,30287
27028,1940
42025,6102
21977,3430
18268,19450
53231,31798
65291,38006
26786,44213
66849,47611
14530,30940
43336,18762
41703,23918
57214,10951
31745,7762
51745,13426
5522,11353
61961,65845
65883,7083
50123,11027
48690,49297
50975,26947
9709,7304
55942,10083
7815,22887
1935,58915
36387,11808
33219,34838
12974,49584
23158,13626
46694,43205
2740,34220
33320,20700
8462,10776
56771,31747
46105,37581
31176,3806
55092,5029
56077,13788
25575,30113
34537,28688
21570,60081
13859,65540
17087,42776
58290,40422
17946,60593
34045,13324
5484,251
8096,11033
33455,37091
3730,45107
22845,12821
20104,6263
10636,57742
36134,163
24485,20727
45347,37991
13178,26288
4269,29949
54607,52838
46921,58289
65869,22629
4829,61757
2431,59980
49079,46627
35378,10264
42538,4613
47500,40353
43224,50553
24773,58302
50820,53679
10312,10543
11824,56440
11029,6143
34649,34798
56618,33338
25766,36072
3347,52840
5788,14133
61766,38861
60556,10313
18293,61504
55467,39470
50806,43095
16886,50041
33927,2927
5686,41180
36672,8422
36594,14947
11989,53076
22826,1430
24856,29967
27361,55432
48947,38990
42783,23394
36634,50278
64123,62651
2265,28072
29366,30042
8997,59211
26153,21144
56955,53965
39856,53451
3990,28985
956,30812
3344,41052
13888,22877
22820,35476
3812,17699
15230,27629
35601,17168
35356,64953
51666,9851
42935,30060
40718,44964
7619,18267
58961,16713
48102,30859
26887,37282
4563,40608
29331,26333
40896,10484
43431,5367
16889,2298
38267,45318
51505,33183
21960,33448
9693,12794
22082,15802
22710,40453
63298,10037
39806,47015
39697,44827
9985,66178
6148,65500
8724,30241
64650,28186
9803,46428
63517,65297
55593,6478
20814,15967
34563,17870
11702,6831
16167,58754
59663,20141
23689,25633
6879,29666
63798,40479
25475,50749
61853,41790
35433,59335
57546,817
8824,13259
56341,61823
56690,19302
34938,58128
18356,50614
23795,57473
17491,60505
8118,12160
51069,9202
57781,34376
42971,5071
30252,40846
11894,9397
7046,22760
54179,55010
62731,28570
54441,47273
37924,44796
29052,3780
40765,28335
65624,66663
65308,15686
13341,65933
63956,52886
10736,56316
22171,59490
21825,30895
51176,14811
66365,24992
46446,39794
2448,42466
60146,67116
25982,12537
56886,19675
4534,5292
8617,26937
59549,38898
40344,49117
9953,12240
46824,41283
30144,63470
20696,2053
30197,26481
23251,11325
24217,20228
61872,58315
63742,64481
64791,54972
9218,40609
49674,35298
17637,26360
29165,32299
27883,7438
51380,5460
60560,4974
27482,41926
51950,16196
66650,64036
58946,52299
56665,5238
40943,47534
46645,12545
31489,57253
13681,6995
28963,34868
1237,13716
15902,59812
36326,48736
24333,30307
33006,17815
6935,62264
5358,31786
28158,58398
55531,2897
44025,12133
46332,63230
37470,516
56527,18511
23370,19046
37144,11694
25956,33248
36224,36058
26078,54479
57446,38910
7403,1865
56990,30054
50906,47498
37480,53577
16061,28625
56339,41983
29597,62181
2650,107
46813,61329
21979,64187
53322,41068
55091,6547
67155,60253
5544,30339
25189,30855
11509,33943
15554,16923
53810,57793
28286,16529
36292,37843
62070,1178
36944,38231
15059,44263
37478,17194
28936,2970
38158,26770
12638,65521
56117,47633
4994,25175
39392,27093
57034,33369
56099,57955
22534,21663
5780,56689
12666,53057
14689,2291
52921,55377
39940,7362
11195,16177
24715,186
62397,42464
37624,51485
27337,32751
64543,37941
27880,44051
473,6518
15571,19212
12714,48891
45312,44999
21212,41123
14804,39075
13297,3105
66416,41618
28937,22134
25382,48887
7259,31536
45195,15546
16819,32376
8240,41207
33689,59547
51334,61339
62884,9696
65167,18432
32661,43759
48630,59349
55921,767
51799,63525
19851,60404
61976,38609
17980,22243
61990,16317
23764,46573
62240,43447
50639,24892
7320,43987
23896,8738
21587,45135
34548,64816
30593,65894
17403,39581
17450,66056
51125,63178
23235,45014
60804,735
50478,9994
19896,43556
35242,42192
35234,23368
17267,62810
67422,45404
13079,45801
2126,47061
41226,49208
56824,41037
37374,45055
39877,64380
12619,52037
57345,44784
27331,8083
20962,44650
14707,5839
61843,62832
20663,20966
29495,31788
41565,52298
17437,20354
61656,43371
48771,60930
63299,49194
9838,57371
34632,24763
52143,53126
10522,65924
5810,66209
18500,51619
65801,44100
1494,22706
29560,38678
33081,44276
15955,14813
47368,40709
17439,18149
20503,43779
49795,44922
58764,30325
22319,21064
9113,20301
3565,46368
61302,42566
3316,57193
9678,24176
20907,33769
59100,10445
16013,20032
31311,44878
34035,59709
17302,38912
48051,25899
53953,14043
56204,55225
30331,15002
28608,36231
53577,690
15726,58132
18420,17671
32993,58923
6223,42971
34202,5314
67306,62546
874,52240
